typology,curve,candidate_frame,window_start,window_end
b4,curve_00,13,10,16
b4,curve_00,14,11,17
b4,curve_00,15,12,18
b4,curve_00,16,13,19
b4,curve_00,17,14,20
b4,curve_00,29,26,32
b4,curve_00,30,27,33
b4,curve_00,53,50,56
b4,curve_00,54,51,57
b4,curve_01,13,10,16
b4,curve_01,14,11,17
b4,curve_01,15,12,18
b4,curve_01,16,13,19
b4,curve_01,17,14,20
b4,curve_01,18,15,21
b4,curve_01,28,25,31
b4,curve_01,29,26,32
b4,curve_01,30,27,33
b4,curve_01,53,50,56
b4,curve_01,54,51,57
b4,curve_02,12,9,15
b4,curve_02,13,10,16
b4,curve_02,14,11,17
b4,curve_02,15,12,18
b4,curve_02,16,13,19
b4,curve_02,17,14,20
b4,curve_02,28,25,31
b4,curve_02,29,26,32
b4,curve_02,30,27,33
b4,curve_02,31,28,34
b4,curve_02,49,46,52
b4,curve_02,53,50,56
b4,curve_02,54,51,57
b4,curve_03,13,10,16
b4,curve_03,14,11,17
b4,curve_03,15,12,18
b4,curve_03,16,13,19
b4,curve_03,17,14,20
b4,curve_03,18,15,21
b4,curve_03,19,16,22
b4,curve_03,53,50,56
b4,curve_03,54,51,57
b4,curve_04,13,10,16
b4,curve_04,14,11,17
b4,curve_04,15,12,18
b4,curve_04,16,13,19
b4,curve_04,27,24,30
b4,curve_04,28,25,31
b4,curve_04,29,26,32
b4,curve_04,30,27,33
b4,curve_04,52,49,55
b4,curve_04,53,50,56
b4,curve_05,13,10,16
b4,curve_05,14,11,17
b4,curve_05,15,12,18
b4,curve_05,16,13,19
b4,curve_05,28,25,31
b4,curve_05,29,26,32
b4,curve_05,30,27,33
b4,curve_05,52,49,55
b4,curve_05,53,50,56
b4,curve_06,12,9,15
b4,curve_06,13,10,16
b4,curve_06,14,11,17
b4,curve_06,15,12,18
b4,curve_06,16,13,19
b4,curve_06,17,14,20
b4,curve_06,28,25,31
b4,curve_06,29,26,32
b4,curve_06,30,27,33
b4,curve_06,31,28,34
b4,curve_06,49,46,52
b4,curve_06,53,50,56
b4,curve_06,54,51,57
b4,curve_07,13,10,16
b4,curve_07,14,11,17
b4,curve_07,15,12,18
b4,curve_07,16,13,19
b4,curve_07,17,14,20
b4,curve_07,18,15,21
b4,curve_07,29,26,32
b4,curve_07,30,27,33
b4,curve_07,53,50,56
b4,curve_07,54,51,57
b4,curve_08,12,9,15
b4,curve_08,13,10,16
b4,curve_08,14,11,17
b4,curve_08,15,12,18
b4,curve_08,16,13,19
b4,curve_08,17,14,20
b4,curve_08,29,26,32
b4,curve_08,30,27,33
b4,curve_08,31,28,34
b4,curve_08,49,46,52
b4,curve_08,53,50,56
b4,curve_08,54,51,57
b4,curve_09,12,9,15
b4,curve_09,13,10,16
b4,curve_09,14,11,17
b4,curve_09,15,12,18
b4,curve_09,16,13,19
b4,curve_09,17,14,20
b4,curve_09,29,26,32
b4,curve_09,30,27,33
b4,curve_09,31,28,34
b4,curve_09,49,46,52
b4,curve_09,53,50,56
b4,curve_09,54,51,57
b4,curve_10,12,9,15
b4,curve_10,13,10,16
b4,curve_10,14,11,17
b4,curve_10,15,12,18
b4,curve_10,16,13,19
b4,curve_10,17,14,20
b4,curve_10,23,20,26
b4,curve_10,24,21,27
b4,curve_10,25,22,28
b4,curve_10,26,23,29
b4,curve_10,52,49,55
b4,curve_11,13,10,16
b4,curve_11,14,11,17
b4,curve_11,15,12,18
b4,curve_11,16,13,19
b4,curve_11,17,14,20
b4,curve_11,18,15,21
b4,curve_11,29,26,32
b4,curve_11,30,27,33
b4,curve_11,53,50,56
