typology,curve,candidate_frame,window_start,window_end
b2,curve_00,4,1,7
b2,curve_00,5,2,8
b2,curve_00,6,3,9
b2,curve_00,7,4,10
b2,curve_00,19,16,22
b2,curve_00,20,17,23
b2,curve_00,21,18,24
b2,curve_01,5,2,8
b2,curve_01,6,3,9
b2,curve_01,7,4,10
b2,curve_01,27,24,30
b2,curve_01,28,25,31
b2,curve_01,29,26,32
b2,curve_01,30,27,33
b2,curve_01,31,28,34
b2,curve_01,32,29,35
b2,curve_02,5,2,8
b2,curve_02,6,3,9
b2,curve_02,7,4,10
b2,curve_02,8,5,11
b2,curve_02,25,22,28
b2,curve_02,26,23,29
b2,curve_02,27,24,30
b2,curve_02,32,29,35
b2,curve_02,33,30,36
b2,curve_02,34,31,37
b2,curve_02,35,32,38
b2,curve_03,5,2,8
b2,curve_03,6,3,9
b2,curve_03,7,4,10
b2,curve_03,27,24,30
b2,curve_03,28,25,31
b2,curve_03,29,26,32
b2,curve_03,30,27,33
b2,curve_04,7,4,10
b2,curve_04,8,5,11
b2,curve_04,9,6,12
b2,curve_04,24,21,27
b2,curve_04,25,22,28
b2,curve_04,31,28,34
b2,curve_04,32,29,35
b2,curve_04,33,30,36
b2,curve_04,34,31,37
b2,curve_05,6,3,9
b2,curve_05,7,4,10
b2,curve_05,12,9,15
b2,curve_05,13,10,16
b2,curve_05,27,24,30
b2,curve_05,28,25,31
b2,curve_05,29,26,32
b2,curve_05,30,27,33
b2,curve_05,31,28,34
b2,curve_05,32,29,35
b2,curve_06,5,2,8
b2,curve_06,6,3,9
b2,curve_06,7,4,10
b2,curve_06,24,21,27
b2,curve_06,25,22,28
b2,curve_06,30,27,33
b2,curve_06,31,28,34
b2,curve_06,32,29,35
b2,curve_06,33,30,36
b2,curve_07,5,2,8
b2,curve_07,6,3,9
b2,curve_07,7,4,10
b2,curve_07,11,8,14
b2,curve_07,12,9,15
b2,curve_07,13,10,16
b2,curve_07,28,25,31
b2,curve_07,29,26,32
b2,curve_07,30,27,33
b2,curve_07,31,28,34
b2,curve_07,32,29,35
b2,curve_08,6,3,9
b2,curve_08,7,4,10
b2,curve_08,8,5,11
b2,curve_08,12,9,15
b2,curve_08,13,10,16
b2,curve_08,14,11,17
b2,curve_08,29,26,32
b2,curve_08,30,27,33
b2,curve_08,31,28,34
b2,curve_08,32,29,35
b2,curve_09,6,3,9
b2,curve_09,7,4,10
b2,curve_09,8,5,11
b2,curve_09,9,6,12
b2,curve_09,23,20,26
b2,curve_09,24,21,27
b2,curve_09,25,22,28
b2,curve_09,30,27,33
b2,curve_09,31,28,34
b2,curve_09,32,29,35
b2,curve_09,33,30,36
b2,curve_10,7,4,10
b2,curve_10,8,5,11
b2,curve_10,9,6,12
b2,curve_10,28,25,31
b2,curve_10,29,26,32
b2,curve_10,30,27,33
b2,curve_10,31,28,34
b2,curve_10,32,29,35
b2,curve_11,4,1,7
b2,curve_11,5,2,8
b2,curve_11,6,3,9
b2,curve_11,7,4,10
b2,curve_11,23,20,26
b2,curve_11,24,21,27
b2,curve_11,25,22,28
b2,curve_11,29,26,32
b2,curve_11,30,27,33
b2,curve_11,31,28,34
b2,curve_11,32,29,35
b2,curve_12,6,3,9
b2,curve_12,7,4,10
b2,curve_12,8,5,11
b2,curve_12,25,22,28
b2,curve_12,26,23,29
b2,curve_12,31,28,34
b2,curve_12,32,29,35
b2,curve_12,33,30,36
b2,curve_12,34,31,37
b2,curve_13,6,3,9
b2,curve_13,7,4,10
b2,curve_13,25,22,28
b2,curve_13,26,23,29
b2,curve_13,31,28,34
b2,curve_13,32,29,35
b2,curve_13,33,30,36
b2,curve_13,34,31,37
b2,curve_14,5,2,8
b2,curve_14,6,3,9
b2,curve_14,7,4,10
b2,curve_14,24,21,27
b2,curve_14,25,22,28
b2,curve_14,26,23,29
b2,curve_14,31,28,34
b2,curve_14,32,29,35
b2,curve_14,33,30,36
b2,curve_15,6,3,9
b2,curve_15,7,4,10
b2,curve_15,8,5,11
b2,curve_15,12,9,15
b2,curve_15,13,10,16
b2,curve_15,25,22,28
b2,curve_15,26,23,29
b2,curve_15,31,28,34
b2,curve_15,32,29,35
b2,curve_15,33,30,36
b2,curve_15,34,31,37
b2,curve_16,5,2,8
b2,curve_16,6,3,9
b2,curve_16,7,4,10
b2,curve_16,8,5,11
b2,curve_16,9,6,12
b2,curve_16,27,24,30
b2,curve_16,28,25,31
b2,curve_16,29,26,32
b2,curve_16,30,27,33
