typology,curve,candidate_frame,window_start,window_end
t5-3,curve_00,11,8,14
t5-3,curve_00,12,9,15
t5-3,curve_00,13,10,16
t5-3,curve_01,11,8,14
t5-3,curve_01,12,9,15
t5-3,curve_01,13,10,16
t5-3,curve_02,13,10,16
t5-3,curve_02,14,11,17
t5-3,curve_02,15,12,18
t5-3,curve_03,12,9,15
t5-3,curve_03,13,10,16
t5-3,curve_03,14,11,17
t5-3,curve_04,12,9,15
t5-3,curve_04,13,10,16
t5-3,curve_05,13,10,16
t5-3,curve_05,14,11,17
t5-3,curve_05,15,12,18
t5-3,curve_06,11,8,14
t5-3,curve_06,12,9,15
t5-3,curve_06,13,10,16
t5-3,curve_07,11,8,14
t5-3,curve_07,12,9,15
t5-3,curve_08,11,8,14
t5-3,curve_08,12,9,15
t5-3,curve_08,13,10,16
t5-3,curve_09,12,9,15
t5-3,curve_09,13,10,16
t5-3,curve_10,12,9,15
t5-3,curve_10,13,10,16
t5-3,curve_10,14,11,17
t5-3,curve_11,11,8,14
t5-3,curve_11,12,9,15
t5-3,curve_12,12,9,15
t5-3,curve_12,13,10,16
t5-3,curve_13,13,10,16
t5-3,curve_13,14,11,17
t5-3,curve_14,11,8,14
t5-3,curve_14,12,9,15
t5-3,curve_15,12,9,15
t5-3,curve_15,13,10,16
t5-3,curve_16,11,8,14
t5-3,curve_16,12,9,15
t5-3,curve_17,12,9,15
t5-3,curve_17,13,10,16
t5-3,curve_17,14,11,17
t5-3,curve_18,11,8,14
t5-3,curve_18,12,9,15
t5-3,curve_18,13,10,16
t5-3,curve_19,13,10,16
t5-3,curve_19,14,11,17
t5-3,curve_20,11,8,14
t5-3,curve_20,12,9,15
t5-3,curve_20,13,10,16
t5-3,curve_21,12,9,15
t5-3,curve_21,13,10,16
t5-3,curve_22,11,8,14
t5-3,curve_22,12,9,15
t5-3,curve_23,14,11,17
t5-3,curve_23,15,12,18
t5-3,curve_24,14,11,17
t5-3,curve_24,15,12,18
t5-3,curve_24,16,13,19
t5-3,curve_25,11,8,14
t5-3,curve_25,12,9,15
t5-3,curve_25,13,10,16
t5-3,curve_26,14,11,17
t5-3,curve_26,15,12,18
t5-3,curve_27,13,10,16
t5-3,curve_27,14,11,17
t5-3,curve_27,15,12,18
t5-3,curve_28,12,9,15
t5-3,curve_28,13,10,16
t5-3,curve_28,14,11,17
t5-3,curve_29,12,9,15
t5-3,curve_29,13,10,16
t5-3,curve_29,14,11,17
t5-3,curve_30,11,8,14
t5-3,curve_30,12,9,15
t5-3,curve_30,13,10,16
t5-3,curve_31,11,8,14
t5-3,curve_31,12,9,15
t5-3,curve_31,13,10,16
t5-3,curve_32,13,10,16
t5-3,curve_32,14,11,17
t5-3,curve_32,15,12,18
t5-3,curve_33,11,8,14
t5-3,curve_33,12,9,15
t5-3,curve_33,13,10,16
t5-3,curve_34,11,8,14
t5-3,curve_34,12,9,15
t5-3,curve_34,13,10,16
t5-3,curve_35,11,8,14
t5-3,curve_35,12,9,15
t5-3,curve_36,12,9,15
t5-3,curve_36,13,10,16
t5-3,curve_36,14,11,17
t5-3,curve_37,11,8,14
t5-3,curve_37,12,9,15
t5-3,curve_37,13,10,16
t5-3,curve_38,11,8,14
t5-3,curve_38,12,9,15
t5-3,curve_38,13,10,16
t5-3,curve_39,13,10,16
t5-3,curve_39,14,11,17
t5-3,curve_39,15,12,18
t5-3,curve_40,11,8,14
t5-3,curve_40,12,9,15
t5-3,curve_40,13,10,16
t5-3,curve_41,11,8,14
t5-3,curve_41,12,9,15
t5-3,curve_41,13,10,16
t5-3,curve_42,12,9,15
t5-3,curve_42,13,10,16
t5-3,curve_43,11,8,14
t5-3,curve_43,12,9,15
t5-3,curve_43,13,10,16
t5-3,curve_44,11,8,14
t5-3,curve_44,12,9,15
t5-3,curve_45,12,9,15
t5-3,curve_45,13,10,16
t5-3,curve_45,14,11,17
t5-3,curve_46,12,9,15
t5-3,curve_46,13,10,16
