typology,curve,candidate_frame,window_start,window_end,combined_intensity,l2_intensity,dssim_intensity
t1-1,curve_00,11,8,14,0.9929470403891658,0.9858940982619986,0.9999999825163329
t1-1,curve_00,12,9,15,0.9926080650088309,0.9999999999962248,0.9852161300214369
t1-1,curve_00,13,10,16,0.8383084406867389,0.8394209128987018,0.837195968474776
t1-1,curve_01,10,7,13,0.7660727644718311,0.7624760834366725,0.7696694455069898
t1-1,curve_01,11,8,14,0.9999999911487244,0.9999999999964262,0.9999999823010226
t1-1,curve_01,12,9,15,0.9738193176815972,0.9850118410507132,0.9626267943124813
t1-1,curve_01,13,10,16,0.7881086286470359,0.779830196974968,0.7963870603191038
t1-1,curve_02,10,7,13,0.7933777912037068,0.7964274656967577,0.7903281167106558
t1-1,curve_02,11,8,14,0.9999999907710309,0.9999999999960432,0.9999999815460184
t1-1,curve_02,12,9,15,0.9759159907022363,0.982655465591257,0.9691765158132156
t1-1,curve_02,13,10,16,0.8064270516485259,0.7968834137929843,0.8159706895040676
t1-1,curve_03,11,8,14,0.9986214336602305,0.997242885237707,0.999999982082754
t1-1,curve_03,12,9,15,0.9932686669471925,0.999999999996196,0.986537333898189
t1-1,curve_03,13,10,16,0.8178050559725821,0.8131231304580956,0.8224869814870687
t1-1,curve_04,10,7,13,0.7536190036872429,0.7627646891777591,0.7444733181967267
t1-1,curve_04,11,8,14,0.9999999907441255,0.9999999999958155,0.9999999814924354
t1-1,curve_04,12,9,15,0.9957758410907662,0.9985797830474491,0.9929718991340833
t1-1,curve_04,13,10,16,0.8510069362240404,0.8511231124763614,0.8508907599717194
t1-1,curve_05,10,7,13,0.8085430835990288,0.8040082787829228,0.8130778884151348
t1-1,curve_05,11,8,14,0.9999999908158117,0.9999999999962038,0.9999999816354197
t1-1,curve_05,12,9,15,0.9739082549309606,0.9790401481228643,0.9687763617390568
t1-1,curve_05,13,10,16,0.7859739089225644,0.7696944304589102,0.8022533873862187
t1-1,curve_06,10,7,13,0.7531691747025168,0.7612866878344452,0.7450516615705883
t1-1,curve_06,11,8,14,0.9959131864678124,0.9919062551557166,0.9999201177799082
t1-1,curve_06,12,9,15,0.9999999908624637,0.9999999999958459,0.9999999817290816
t1-1,curve_06,13,10,16,0.8634400885846427,0.8642006650542614,0.8626795121150241
t1-1,curve_07,10,7,13,0.7749947806572566,0.7750100641366906,0.7749794971778224
t1-1,curve_07,11,8,14,0.999999990763032,0.9999999999960026,0.9999999815300614
t1-1,curve_07,12,9,15,0.9778812751271916,0.9813153274186697,0.9744472228357135
t1-1,curve_07,13,10,16,0.8055925756986138,0.7961722283034289,0.8150129230937985
t1-1,curve_08,10,7,13,0.822817690816195,0.8211404772463613,0.8244949043860287
t1-1,curve_08,11,8,14,0.9999999904849797,0.9999999999959732,0.9999999809739861
t1-1,curve_08,12,9,15,0.9729723280906202,0.976696368831709,0.9692482873495314
t1-1,curve_08,13,10,16,0.794925281000296,0.7779254654462354,0.8119250965543565
t1-1,curve_09,10,7,13,0.8102350693220333,0.8029257880966721,0.8175443505473943
t1-1,curve_09,11,8,14,0.9999999906756027,0.9999999999961191,0.9999999813550863
t1-1,curve_09,12,9,15,0.9701216084478226,0.9729544947781964,0.9672887221174488
t1-1,curve_09,13,10,16,0.7864197904429902,0.7686719327643255,0.8041676481216548
t1-1,curve_10,10,7,13,0.7623038898493808,0.7622262232708983,0.7623815564278633
t1-1,curve_10,11,8,14,0.9969550473344431,0.9939101130421026,0.9999999816267834
t1-1,curve_10,12,9,15,0.9867427621383151,0.9999999999957889,0.9734855242808413
t1-1,curve_10,13,10,16,0.8192021794267847,0.829607238868944,0.8087971199846256
t1-1,curve_11,10,7,13,0.7975112446363513,0.7961321016405746,0.7988903876321278
t1-1,curve_11,11,8,14,0.9999999906864458,0.9999999999959056,0.9999999813769862
t1-1,curve_11,12,9,15,0.9835978259666276,0.9881371298232804,0.9790585221099748
t1-1,curve_11,13,10,16,0.8050961678965664,0.8084945752448931,0.8016977605482396
t1-1,curve_12,11,8,14,0.990441281498363,0.9808825806277084,0.9999999823690174
t1-1,curve_12,12,9,15,0.9932482953629427,0.9999999999962816,0.9864965907296036
t1-1,curve_12,13,10,16,0.8291284128979102,0.82149790350642,0.8367589222894002
