typology,curve,candidate_frame,window_start,window_end
t2-1,curve_00,11,8,14
t2-1,curve_00,12,9,15
t2-1,curve_01,11,8,14
t2-1,curve_01,12,9,15
t2-1,curve_01,13,10,16
t2-1,curve_02,12,9,15
t2-1,curve_02,13,10,16
t2-1,curve_03,11,8,14
t2-1,curve_03,12,9,15
t2-1,curve_04,12,9,15
t2-1,curve_04,13,10,16
t2-1,curve_04,14,11,17
t2-1,curve_05,11,8,14
t2-1,curve_05,12,9,15
t2-1,curve_05,13,10,16
t2-1,curve_06,13,10,16
t2-1,curve_06,14,11,17
t2-1,curve_06,15,12,18
t2-1,curve_07,11,8,14
t2-1,curve_07,12,9,15
t2-1,curve_08,11,8,14
t2-1,curve_08,12,9,15
t2-1,curve_09,11,8,14
t2-1,curve_09,12,9,15
t2-1,curve_09,13,10,16
t2-1,curve_10,11,8,14
t2-1,curve_10,12,9,15
t2-1,curve_11,11,8,14
t2-1,curve_11,12,9,15
t2-1,curve_11,13,10,16
t2-1,curve_12,11,8,14
t2-1,curve_12,12,9,15
t2-1,curve_13,11,8,14
t2-1,curve_13,12,9,15
t2-1,curve_14,12,9,15
t2-1,curve_14,13,10,16
t2-1,curve_14,14,11,17
t2-1,curve_15,12,9,15
t2-1,curve_15,13,10,16
t2-1,curve_16,11,8,14
t2-1,curve_16,12,9,15
t2-1,curve_16,13,10,16
t2-1,curve_17,11,8,14
t2-1,curve_17,12,9,15
t2-1,curve_17,13,10,16
t2-1,curve_18,12,9,15
t2-1,curve_18,13,10,16
t2-1,curve_18,14,11,17
t2-1,curve_19,13,10,16
t2-1,curve_19,14,11,17
t2-1,curve_20,11,8,14
t2-1,curve_20,12,9,15
t2-1,curve_20,13,10,16
t2-1,curve_21,11,8,14
t2-1,curve_21,12,9,15
t2-1,curve_21,13,10,16
t2-1,curve_22,11,8,14
t2-1,curve_22,12,9,15
t2-1,curve_23,11,8,14
t2-1,curve_23,12,9,15
t2-1,curve_23,13,10,16
t2-1,curve_24,12,9,15
t2-1,curve_24,13,10,16
t2-1,curve_25,12,9,15
t2-1,curve_25,13,10,16
t2-1,curve_25,14,11,17
t2-1,curve_26,12,9,15
t2-1,curve_26,13,10,16
t2-1,curve_27,13,10,16
t2-1,curve_27,14,11,17
t2-1,curve_28,11,8,14
t2-1,curve_28,12,9,15
t2-1,curve_28,13,10,16
t2-1,curve_29,11,8,14
t2-1,curve_29,12,9,15
t2-1,curve_30,12,9,15
t2-1,curve_30,13,10,16
t2-1,curve_31,13,10,16
t2-1,curve_31,14,11,17
t2-1,curve_31,15,12,18
t2-1,curve_32,11,8,14
t2-1,curve_32,12,9,15
t2-1,curve_33,12,9,15
t2-1,curve_33,13,10,16
t2-1,curve_34,11,8,14
t2-1,curve_34,12,9,15
t2-1,curve_34,13,10,16
t2-1,curve_35,11,8,14
t2-1,curve_35,12,9,15
t2-1,curve_35,13,10,16
t2-1,curve_36,13,10,16
t2-1,curve_36,14,11,17
t2-1,curve_36,15,12,18
t2-1,curve_37,13,10,16
t2-1,curve_37,14,11,17
t2-1,curve_38,12,9,15
t2-1,curve_38,13,10,16
t2-1,curve_38,14,11,17
t2-1,curve_39,11,8,14
t2-1,curve_39,12,9,15
t2-1,curve_40,12,9,15
t2-1,curve_40,13,10,16
t2-1,curve_40,14,11,17
t2-1,curve_41,11,8,14
t2-1,curve_41,12,9,15
t2-1,curve_42,11,8,14
t2-1,curve_42,12,9,15
t2-1,curve_43,11,8,14
t2-1,curve_43,12,9,15
t2-1,curve_44,12,9,15
t2-1,curve_44,13,10,16
t2-1,curve_44,14,11,17
t2-1,curve_45,11,8,14
t2-1,curve_45,12,9,15
t2-1,curve_46,11,8,14
t2-1,curve_46,12,9,15
t2-1,curve_47,12,9,15
t2-1,curve_47,13,10,16
t2-1,curve_48,13,10,16
t2-1,curve_48,14,11,17
t2-1,curve_49,2,0,5
t2-1,curve_49,3,0,6
t2-1,curve_49,13,10,16
t2-1,curve_49,14,11,17
t2-1,curve_50,11,8,14
t2-1,curve_50,12,9,15
t2-1,curve_50,13,10,16
t2-1,curve_51,11,8,14
t2-1,curve_51,12,9,15
t2-1,curve_51,13,10,16
t2-1,curve_52,11,8,14
t2-1,curve_52,12,9,15
t2-1,curve_52,13,10,16
t2-1,curve_53,13,10,16
t2-1,curve_53,14,11,17
t2-1,curve_54,11,8,14
t2-1,curve_54,12,9,15
t2-1,curve_55,13,10,16
t2-1,curve_55,14,11,17
t2-1,curve_56,11,8,14
t2-1,curve_56,12,9,15
t2-1,curve_56,13,10,16
t2-1,curve_57,13,10,16
t2-1,curve_57,14,11,17
t2-1,curve_58,11,8,14
t2-1,curve_58,12,9,15
t2-1,curve_58,13,10,16
t2-1,curve_59,11,8,14
t2-1,curve_59,12,9,15
t2-1,curve_59,13,10,16
t2-1,curve_60,11,8,14
t2-1,curve_60,12,9,15
t2-1,curve_61,12,9,15
t2-1,curve_61,13,10,16
t2-1,curve_61,14,11,17
t2-1,curve_62,12,9,15
t2-1,curve_62,13,10,16
t2-1,curve_63,11,8,14
t2-1,curve_63,12,9,15
t2-1,curve_63,13,10,16
t2-1,curve_64,13,10,16
t2-1,curve_64,14,11,17
t2-1,curve_65,12,9,15
t2-1,curve_65,13,10,16
t2-1,curve_66,13,10,16
t2-1,curve_66,14,11,17
t2-1,curve_67,11,8,14
t2-1,curve_67,12,9,15
t2-1,curve_67,13,10,16
t2-1,curve_68,11,8,14
t2-1,curve_68,12,9,15
t2-1,curve_68,13,10,16
t2-1,curve_69,13,10,16
t2-1,curve_69,14,11,17
t2-1,curve_69,15,12,18
t2-1,curve_70,12,9,15
t2-1,curve_70,13,10,16
t2-1,curve_70,14,11,17
t2-1,curve_71,12,9,15
t2-1,curve_71,13,10,16
t2-1,curve_72,11,8,14
t2-1,curve_72,12,9,15
t2-1,curve_72,13,10,16
t2-1,curve_73,11,8,14
t2-1,curve_73,12,9,15
t2-1,curve_74,12,9,15
t2-1,curve_74,13,10,16
t2-1,curve_74,14,11,17
t2-1,curve_75,13,10,16
t2-1,curve_75,14,11,17
t2-1,curve_75,15,12,18
t2-1,curve_76,11,8,14
t2-1,curve_76,12,9,15
t2-1,curve_77,12,9,15
t2-1,curve_77,13,10,16
t2-1,curve_77,14,11,17
t2-1,curve_78,12,9,15
t2-1,curve_78,13,10,16
t2-1,curve_79,12,9,15
t2-1,curve_79,13,10,16
t2-1,curve_79,14,11,17
t2-1,curve_80,11,8,14
t2-1,curve_80,12,9,15
t2-1,curve_80,13,10,16
t2-1,curve_81,13,10,16
t2-1,curve_81,14,11,17
t2-1,curve_82,13,10,16
t2-1,curve_82,14,11,17
t2-1,curve_82,15,12,18
t2-1,curve_83,13,10,16
t2-1,curve_83,14,11,17
t2-1,curve_83,15,12,18
t2-1,curve_84,13,10,16
t2-1,curve_84,14,11,17
t2-1,curve_85,12,9,15
t2-1,curve_85,13,10,16
t2-1,curve_85,14,11,17
t2-1,curve_86,11,8,14
t2-1,curve_86,12,9,15
t2-1,curve_86,13,10,16
t2-1,curve_87,11,8,14
t2-1,curve_87,12,9,15
t2-1,curve_87,13,10,16
t2-1,curve_88,13,10,16
t2-1,curve_88,14,11,17
t2-1,curve_89,12,9,15
t2-1,curve_89,13,10,16
t2-1,curve_89,14,11,17
t2-1,curve_90,11,8,14
t2-1,curve_90,12,9,15
t2-1,curve_90,13,10,16
t2-1,curve_91,12,9,15
t2-1,curve_91,13,10,16
t2-1,curve_92,11,8,14
t2-1,curve_92,12,9,15
t2-1,curve_92,13,10,16
t2-1,curve_93,13,10,16
t2-1,curve_93,14,11,17
t2-1,curve_94,13,10,16
t2-1,curve_94,14,11,17
t2-1,curve_95,11,8,14
t2-1,curve_95,12,9,15
t2-1,curve_96,12,9,15
t2-1,curve_96,13,10,16
t2-1,curve_96,14,11,17
t2-1,curve_97,2,0,5
t2-1,curve_97,3,0,6
t2-1,curve_97,14,11,17
t2-1,curve_97,15,12,18
t2-1,curve_98,12,9,15
t2-1,curve_98,13,10,16
t2-1,curve_99,13,10,16
t2-1,curve_99,14,11,17
