typology,curve,candidate_frame,window_start,window_end
t8-1,curve_00,11,8,14
t8-1,curve_00,12,9,15
t8-1,curve_00,13,10,16
t8-1,curve_01,13,10,16
t8-1,curve_01,14,11,17
t8-1,curve_02,12,9,15
t8-1,curve_02,13,10,16
t8-1,curve_03,11,8,14
t8-1,curve_03,12,9,15
t8-1,curve_04,11,8,14
t8-1,curve_04,12,9,15
t8-1,curve_05,12,9,15
t8-1,curve_05,13,10,16
t8-1,curve_06,13,10,16
t8-1,curve_06,14,11,17
t8-1,curve_07,12,9,15
t8-1,curve_07,13,10,16
t8-1,curve_08,13,10,16
t8-1,curve_08,14,11,17
t8-1,curve_09,11,8,14
t8-1,curve_09,12,9,15
t8-1,curve_10,11,8,14
t8-1,curve_10,12,9,15
t8-1,curve_10,13,10,16
t8-1,curve_11,12,9,15
t8-1,curve_11,13,10,16
t8-1,curve_12,11,8,14
t8-1,curve_12,12,9,15
t8-1,curve_12,13,10,16
t8-1,curve_13,11,8,14
t8-1,curve_13,12,9,15
t8-1,curve_13,13,10,16
t8-1,curve_14,13,10,16
t8-1,curve_14,14,11,17
t8-1,curve_15,12,9,15
t8-1,curve_15,13,10,16
t8-1,curve_15,14,11,17
t8-1,curve_16,11,8,14
t8-1,curve_16,12,9,15
t8-1,curve_17,12,9,15
t8-1,curve_17,13,10,16
t8-1,curve_18,11,8,14
t8-1,curve_18,12,9,15
t8-1,curve_19,11,8,14
t8-1,curve_19,12,9,15
t8-1,curve_20,14,11,17
t8-1,curve_21,12,9,15
t8-1,curve_21,13,10,16
t8-1,curve_22,12,9,15
t8-1,curve_22,13,10,16
t8-1,curve_23,13,10,16
t8-1,curve_23,14,11,17
t8-1,curve_24,12,9,15
t8-1,curve_24,13,10,16
t8-1,curve_25,11,8,14
t8-1,curve_25,12,9,15
t8-1,curve_26,11,8,14
t8-1,curve_26,12,9,15
t8-1,curve_26,13,10,16
t8-1,curve_27,12,9,15
t8-1,curve_27,13,10,16
t8-1,curve_27,14,11,17
t8-1,curve_28,13,10,16
t8-1,curve_28,14,11,17
t8-1,curve_29,12,9,15
t8-1,curve_29,13,10,16
t8-1,curve_30,11,8,14
t8-1,curve_30,12,9,15
t8-1,curve_31,12,9,15
t8-1,curve_31,13,10,16
t8-1,curve_32,11,8,14
t8-1,curve_32,12,9,15
t8-1,curve_32,13,10,16
t8-1,curve_33,12,9,15
t8-1,curve_33,13,10,16
t8-1,curve_34,12,9,15
t8-1,curve_34,13,10,16
t8-1,curve_35,12,9,15
t8-1,curve_35,13,10,16
t8-1,curve_36,14,11,17
t8-1,curve_37,11,8,14
t8-1,curve_37,12,9,15
t8-1,curve_38,11,8,14
t8-1,curve_38,12,9,15
t8-1,curve_38,13,10,16
t8-1,curve_39,12,9,15
t8-1,curve_39,13,10,16
t8-1,curve_40,11,8,14
t8-1,curve_40,12,9,15
t8-1,curve_41,11,8,14
t8-1,curve_41,12,9,15
t8-1,curve_42,13,10,16
t8-1,curve_42,14,11,17
t8-1,curve_43,12,9,15
t8-1,curve_43,13,10,16
t8-1,curve_43,14,11,17
t8-1,curve_44,12,9,15
t8-1,curve_44,13,10,16
t8-1,curve_45,11,8,14
t8-1,curve_45,12,9,15
t8-1,curve_46,14,11,17
t8-1,curve_47,13,10,16
t8-1,curve_47,14,11,17
t8-1,curve_48,12,9,15
t8-1,curve_48,13,10,16
t8-1,curve_48,14,11,17
t8-1,curve_49,12,9,15
t8-1,curve_49,13,10,16
t8-1,curve_50,12,9,15
t8-1,curve_50,13,10,16
t8-1,curve_50,14,11,17
t8-1,curve_51,14,11,17
t8-1,curve_52,11,8,14
t8-1,curve_52,12,9,15
