id,x,y,true_label,typology,kmeans_cluster,kmeans_matched
0,2.2099123,39.047054,1,t2,4,1
1,-40.59347,-3.8447726,2,t3,1,2
2,-17.722841,-33.299583,6,t7,3,6
3,-38.464485,-6.0785074,2,t3,1,2
4,36.320763,11.848828,4,t5,7,4
5,-43.368694,-5.711027,2,t3,1,2
6,37.877544,12.9314995,4,t5,7,4
7,33.579525,-11.805225,5,t6,0,5
8,-1.4336469,14.047625,3,t4,2,3
9,0.011930631,11.267644,7,t8,2,3
10,7.0425544,39.802692,1,t2,4,1
11,-40.691612,4.167843,2,t3,1,2
12,45.49681,-11.589199,5,t6,0,5
13,18.87544,23.127747,4,t5,7,4
14,19.29858,-37.797413,7,t8,6,7
15,-12.165093,-21.486135,6,t7,3,6
16,6.457867,-29.385286,7,t8,6,7
17,42.61638,-6.9890676,5,t6,0,5
18,4.1287556,-13.539911,3,t4,2,3
19,7.054239,39.799103,1,t2,4,1
20,-35.90902,21.131762,0,t1,5,0
21,-20.784513,22.349167,0,t1,5,0
22,38.032055,7.754875,4,t5,7,4
23,0.32014164,14.6612625,3,t4,2,3
24,-11.277913,-20.23452,6,t7,3,6
25,20.858164,23.503378,4,t5,7,4
26,-42.25805,0.7070398,2,t3,1,2
27,35.35266,20.340664,4,t5,7,4
28,-6.267807,3.3531294,3,t4,2,3
29,-45.071323,-0.16252846,2,t3,1,2
30,-20.038399,-30.804174,6,t7,3,6
31,-38.03143,-9.351773,2,t3,1,2
32,-1.2362465,-5.589451,3,t4,2,3
33,-43.055794,-2.9806547,2,t3,1,2
34,-44.236202,-10.201119,2,t3,1,2
35,3.995027,-13.154195,3,t4,2,3
36,-34.15116,-14.394389,6,t7,1,2
37,-10.015043,-18.577452,6,t7,3,6
38,23.07177,-9.136744,5,t6,0,5
39,-37.863785,-9.549606,2,t3,1,2
40,42.550938,-7.3013763,5,t6,0,5
41,34.137634,-13.872242,5,t6,0,5
42,36.576508,12.029258,4,t5,7,4
43,-37.068142,21.138409,0,t1,5,0
44,11.335827,36.19775,1,t2,4,1
45,-14.79379,-28.180319,6,t7,3,6
46,-4.125419,4.452832,3,t4,2,3
47,-24.697002,14.448833,0,t1,5,0
48,-35.493984,23.919708,0,t1,5,0
49,7.7492485,-25.757124,7,t8,6,7
50,19.925081,21.628824,4,t5,7,4
51,38.685966,-14.025017,5,t6,0,5
52,-37.722244,18.83906,0,t1,5,0
53,16.03304,-37.470722,7,t8,6,7
54,-1.464211,-5.784917,3,t4,2,3
55,-39.5503,-7.2606287,2,t3,1,2
56,0.38901022,42.292522,1,t2,4,1
57,0.38244364,44.924503,1,t2,4,1
58,-16.666409,-33.128407,6,t7,3,6
59,-0.2646661,10.28332,7,t8,2,3
60,-43.610146,-6.002161,2,t3,1,2
61,-19.224062,-28.917137,6,t7,3,6
62,33.164707,-13.819925,5,t6,0,5
63,10.228831,-32.02253,7,t8,6,7
64,-15.064291,-28.388199,6,t7,3,6
